producto,ciudad,precio_kg,var_mensual_porcentaje,periodo
Cebolla cabezona blanca,Cali,2173.0,46.43,2026-04-01
Cebolla junca,Cali,3358.0,-9.73,2026-04-01
Chócolo mazorca,Cali,1499.0,-12.75,2026-04-01
Fríjol verde*,Cali,4480.0,0.13,2026-04-01
Habichuela,Cali,4415.0,-13.62,2026-04-01
Lechuga Batavia,Cali,1096.0,3.49,2026-04-01
Pepino cohombro,Cali,910.0,1.45,2026-04-01
Pimentón,Cali,3239.0,-0.83,2026-04-01
Remolacha,Cali,2396.0,-6.26,2026-04-01
Repollo blanco,Cali,2396.0,-6.26,2026-04-01
Tomate*,Cali,4540.0,-4.24,2026-04-01
Zanahoria,Cali,2498.0,20.44,2026-04-01
Aguacate papelillo,Cali,10924.0,6.94,2026-04-01
Banano*,Cali,2265.0,-1.31,2026-04-01
Coco,Cali,4596.0,-1.54,2026-04-01
Granadilla,Cali,7123.0,-16.39,2026-04-01
Guayaba pera,Cali,2393.0,-4.74,2026-04-01
Limón Tahití,Cali,4443.0,71.21,2026-04-01
Lulo,Cali,5431.0,12.47,2026-04-01
Mandarina*,Cali,5180.0,-8.71,2026-04-01
Mango Tommy,Cali,3977.0,-8.3,2026-04-01
Manzana verde importada,Cali,9286.0,-9.37,2026-04-01
Maracuyá,Cali,4875.0,-26.18,2026-04-01
Mora de Castilla,Cali,6992.0,37.39,2026-04-01
Naranja*,Cali,1602.0,-7.61,2026-04-01
Papaya*,Cali,2401.0,-13.48,2026-04-01
Pera importada,Cali,6529.0,-13.57,2026-04-01
Piña gold,Cali,2418.0,-17.95,2026-04-01
Tomate de árbol,Cali,3882.0,5.92,2026-04-01
Uva red globe nacional,Cali,8385.0,6.54,2026-04-01
Arracacha*,Cali,3300.0,-0.51,2026-04-01
Papa negra*,Cali,1566.0,3.23,2026-04-01
Papa criolla limpia,Cali,4863.0,39.78,2026-04-01
Plátano hartón verde,Cali,2394.0,-8.77,2026-04-01
Yuca*,Cali,2345.0,0.99,2026-04-01
Arroz de primera,Cali,3393.0,-1.11,2026-04-01
Arveja verde seca importada,Cali,4507.0,1.81,2026-04-01
Fríjol seco*,Cali,7797.0,1.88,2026-04-01
Lenteja importada,Cali,5550.0,14.67,2026-04-01
Maíz blanco trillado,Cali,2492.0,-1.62,2026-04-01
Huevo tipo A**,Cali,435.0,12.11,2026-04-01
Queso costeño,Cali,21417.0,7.09,2026-04-01
"Carne de cerdo, lomo sin hueso",Cali,26575.0,-0.71,2026-04-01
"Carne de res, bola de pierna",Cali,39138.0,1.33,2026-04-01
Pechuga de pollo,Cali,15713.0,-2.89,2026-04-01
Aceite vegetal mezcla**,Cali,12444.0,2.36,2026-04-01
Azúcar sulfitada,Cali,3232.0,0.47,2026-04-01
Café molido,Cali,50133.0,-2.03,2026-04-01
Galletas saladas,Cali,19764.0,1.36,2026-04-01
Harina de trigo,Cali,4350.0,-3.31,2026-04-01
Harina precocida de maíz,Cali,4514.0,0.56,2026-04-01
Jugo instantáneo (sobre),Cali,93125.0,1.59,2026-04-01
Lomitos de atún en lata,Cali,23182.0,-1.13,2026-04-01
Margarina,Cali,30583.0,0.87,2026-04-01
Mayonesa doy pack,Cali,20833.0,0.0,2026-04-01
Panela*,Cali,7340.0,-0.43,2026-04-01
Pastas alimenticias,Cali,8646.0,2.05,2026-04-01
Sal yodada,Cali,2580.0,1.22,2026-04-01
Salsa de tomate doy pack,Cali,20833.0,0.0,2026-04-01
Sardinas en lata,Cali,14052.0,1.17,2026-04-01
Ahuyama,Cúcuta,1692.0,-6.16,2026-04-01
Arveja verde en vaina,Cúcuta,7231.0,5.73,2026-04-01
Cebolla cabezona blanca,Cúcuta,2048.0,61.39,2026-04-01
Cebolla junca,Cúcuta,2079.0,-11.79,2026-04-01
Chócolo mazorca,Cúcuta,1700.0,-15.0,2026-04-01
Fríjol verde*,Cúcuta,5801.0,3.53,2026-04-01
Habichuela,Cúcuta,3754.0,-30.13,2026-04-01
Lechuga Batavia,Cúcuta,1827.0,11.06,2026-04-01
Pepino cohombro,Cúcuta,1176.0,-10.64,2026-04-01
Pimentón,Cúcuta,4990.0,1.2,2026-04-01
Remolacha,Cúcuta,2604.0,4.08,2026-04-01
Repollo blanco,Cúcuta,2604.0,4.08,2026-04-01
Tomate*,Cúcuta,3733.0,6.93,2026-04-01
Zanahoria,Cúcuta,1819.0,20.07,2026-04-01
Aguacate papelillo,Cúcuta,11900.0,2.56,2026-04-01
Banano*,Cúcuta,3244.0,2.37,2026-04-01
Granadilla,Cúcuta,8071.0,-6.87,2026-04-01
Limón Tahití,Cúcuta,5121.0,45.11,2026-04-01
Lulo,Cúcuta,7062.0,2.78,2026-04-01
Mandarina*,Cúcuta,6387.0,-4.57,2026-04-01
Mango Tommy,Cúcuta,3911.0,-21.45,2026-04-01
Manzana verde importada,Cúcuta,10214.0,-5.65,2026-04-01
Maracuyá,Cúcuta,5117.0,-23.66,2026-04-01
Mora de Castilla,Cúcuta,6641.0,20.92,2026-04-01
Naranja*,Cúcuta,2324.0,-0.3,2026-04-01
Papaya*,Cúcuta,2643.0,-6.01,2026-04-01
Pera importada,Cúcuta,7070.0,-17.72,2026-04-01
Piña gold,Cúcuta,3016.0,-3.15,2026-04-01
Tomate de árbol,Cúcuta,3517.0,-2.31,2026-04-01
Arracacha*,Cúcuta,3017.0,24.77,2026-04-01
Papa negra*,Cúcuta,1373.0,16.16,2026-04-01
Papa criolla limpia,Cúcuta,4660.0,18.24,2026-04-01
Plátano hartón verde,Cúcuta,3407.0,-17.02,2026-04-01
Yuca*,Cúcuta,2826.0,6.44,2026-04-01
Arroz de primera,Cúcuta,3558.0,0.4,2026-04-01
Arveja verde seca importada,Cúcuta,3695.0,2.64,2026-04-01
Fríjol seco*,Cúcuta,7100.0,1.43,2026-04-01
Garbanzo importado,Cúcuta,5500.0,-2.22,2026-04-01
Lenteja importada,Cúcuta,4827.0,-5.67,2026-04-01
Maíz blanco trillado,Cúcuta,2468.0,-1.99,2026-04-01
Huevo tipo A**,Cúcuta,393.0,8.56,2026-04-01
Queso costeño,Cúcuta,24867.0,-3.12,2026-04-01
"Carne de cerdo, lomo sin hueso",Cúcuta,19067.0,-1.17,2026-04-01
"Carne de res, bola de pierna",Cúcuta,29800.0,0.17,2026-04-01
Pechuga de pollo,Cúcuta,14787.0,0.48,2026-04-01
Café molido,Cúcuta,53219.0,1.69,2026-04-01
Galletas saladas,Cúcuta,18398.0,-0.84,2026-04-01
Harina de trigo,Cúcuta,3180.0,0.03,2026-04-01
Harina precocida de maíz,Cúcuta,2635.0,-0.34,2026-04-01
Jugo instantáneo (sobre),Cúcuta,69722.0,1.41,2026-04-01
Lomitos de atún en lata,Cúcuta,38690.0,1.69,2026-04-01
Margarina,Cúcuta,18642.0,2.81,2026-04-01
Mayonesa doy pack,Cúcuta,27278.0,0.53,2026-04-01
Panela*,Cúcuta,6784.0,2.71,2026-04-01
Pastas alimenticias,Cúcuta,3047.0,0.86,2026-04-01
Sal yodada,Cúcuta,2383.0,0.97,2026-04-01
Salsa de tomate doy pack,Cúcuta,21481.0,0.02,2026-04-01
Sardinas en lata,Cúcuta,17706.0,0.99,2026-04-01
Ahuyama,Medellín,1091.0,15.45,2026-04-01
Arveja verde en vaina,Medellín,4401.0,-5.03,2026-04-01
Cebolla cabezona blanca,Medellín,2046.0,48.58,2026-04-01
Cebolla junca,Medellín,3012.0,-24.61,2026-04-01
Chócolo mazorca,Medellín,1728.0,0.29,2026-04-01
Fríjol verde*,Medellín,3294.0,-10.68,2026-04-01
Habichuela,Medellín,1959.0,-14.49,2026-04-01
Lechuga Batavia,Medellín,1124.0,6.95,2026-04-01
Pepino cohombro,Medellín,1049.0,-5.58,2026-04-01
Pimentón,Medellín,3948.0,1.6,2026-04-01
Remolacha,Medellín,1594.0,-23.03,2026-04-01
Repollo blanco,Medellín,487.0,-11.93,2026-04-01
Tomate*,Medellín,4093.0,-1.87,2026-04-01
Zanahoria,Medellín,1248.0,12.53,2026-04-01
Aguacate papelillo,Medellín,10593.0,7.25,2026-04-01
Banano*,Medellín,1566.0,-15.21,2026-04-01
Coco,Medellín,6399.0,-1.63,2026-04-01
Granadilla,Medellín,5028.0,-8.96,2026-04-01
Guayaba pera,Medellín,3463.0,9.42,2026-04-01
Limón Tahití,Medellín,4378.0,29.37,2026-04-01
Lulo,Medellín,5095.0,7.11,2026-04-01
Mandarina*,Medellín,7663.0,-12.24,2026-04-01
Mango Tommy,Medellín,3221.0,-33.17,2026-04-01
Manzana verde importada,Medellín,9145.0,-10.06,2026-04-01
Maracuyá,Medellín,4239.0,-23.26,2026-04-01
Mora de Castilla,Medellín,6042.0,29.05,2026-04-01
Naranja*,Medellín,2851.0,-3.36,2026-04-01
Papaya*,Medellín,3325.0,-12.52,2026-04-01
Pera importada,Medellín,6408.0,-11.87,2026-04-01
Piña gold,Medellín,2724.0,-25.63,2026-04-01
Tomate de árbol,Medellín,3629.0,9.04,2026-04-01
Uva red globe nacional,Medellín,8617.0,6.2,2026-04-01
Arracacha*,Medellín,1739.0,12.56,2026-04-01
Papa negra*,Medellín,2490.0,11.16,2026-04-01
Papa criolla limpia,Medellín,4449.0,19.92,2026-04-01
Plátano hartón verde,Medellín,2169.0,-15.01,2026-04-01
Yuca*,Medellín,3000.0,18.44,2026-04-01
Arroz de primera,Medellín,3545.0,0.54,2026-04-01
Arveja verde seca importada,Medellín,3595.0,0.64,2026-04-01
Fríjol seco*,Medellín,10844.0,0.87,2026-04-01
Garbanzo importado,Medellín,4945.0,-0.82,2026-04-01
Lenteja importada,Medellín,4721.0,-0.74,2026-04-01
Maíz blanco trillado,Medellín,2056.0,-6.25,2026-04-01
Huevo tipo A**,Medellín,463.0,11.84,2026-04-01
Queso costeño,Medellín,23482.0,-8.36,2026-04-01
"Carne de cerdo, lomo sin hueso",Medellín,25144.0,4.07,2026-04-01
"Carne de res, bola de pierna",Medellín,38869.0,0.72,2026-04-01
Pechuga de pollo,Medellín,18838.0,-4.21,2026-04-01
Aceite vegetal mezcla**,Medellín,7892.0,-0.11,2026-04-01
Azúcar sulfitada,Medellín,3122.0,0.58,2026-04-01
Café molido,Medellín,47739.0,1.09,2026-04-01
Galletas saladas,Medellín,16756.0,0.15,2026-04-01
Harina de trigo,Medellín,4285.0,2.93,2026-04-01
Jugo instantáneo (sobre),Medellín,84063.0,-0.37,2026-04-01
Lomitos de atún en lata,Medellín,33805.0,0.1,2026-04-01
Margarina,Medellín,15428.0,0.23,2026-04-01
Mayonesa doy pack,Medellín,29549.0,1.41,2026-04-01
Panela*,Medellín,5965.0,0.3,2026-04-01
Pastas alimenticias,Medellín,7444.0,0.88,2026-04-01
Sal yodada,Medellín,2526.0,1.9,2026-04-01
Salsa de tomate doy pack,Medellín,23177.0,2.42,2026-04-01
Sardinas en lata,Medellín,17860.0,-0.18,2026-04-01
Ahuyama,Pereira,1696.0,1.07,2026-04-01
Arveja verde en vaina,Pereira,5613.0,-8.09,2026-04-01
Cebolla cabezona blanca,Pereira,2052.0,37.17,2026-04-01
Cebolla junca,Pereira,2314.0,-13.46,2026-04-01
Fríjol verde*,Pereira,4975.0,-11.26,2026-04-01
Habichuela,Pereira,3855.0,-24.49,2026-04-01
Lechuga Batavia,Pereira,2173.0,5.08,2026-04-01
Pepino cohombro,Pereira,1589.0,-21.72,2026-04-01
Pimentón,Pereira,4581.0,-3.9,2026-04-01
Remolacha,Pereira,2878.0,-4.92,2026-04-01
Repollo blanco,Pereira,1848.0,-6.9,2026-04-01
Tomate*,Pereira,5067.0,3.81,2026-04-01
Zanahoria,Pereira,2420.0,26.17,2026-04-01
Aguacate papelillo,Pereira,12426.0,5.67,2026-04-01
Banano*,Pereira,1943.0,-2.66,2026-04-01
Coco,Pereira,4838.0,-1.51,2026-04-01
Granadilla,Pereira,8364.0,-9.09,2026-04-01
Guayaba pera,Pereira,2696.0,0.82,2026-04-01
Limón Tahití,Pereira,3722.0,39.98,2026-04-01
Lulo,Pereira,5130.0,6.15,2026-04-01
Mandarina*,Pereira,6000.0,3.31,2026-04-01
Mango Tommy,Pereira,5170.0,-1.84,2026-04-01
Manzana verde importada,Pereira,9788.0,4.83,2026-04-01
Maracuyá,Pereira,5044.0,-22.09,2026-04-01
Mora de Castilla,Pereira,7778.0,24.89,2026-04-01
Naranja*,Pereira,1916.0,-9.67,2026-04-01
Papaya*,Pereira,2587.0,-18.67,2026-04-01
Pera importada,Pereira,6975.0,-9.27,2026-04-01
Piña gold,Pereira,3456.0,-16.24,2026-04-01
Tomate de árbol,Pereira,4063.0,-1.43,2026-04-01
Uva red globe nacional,Pereira,8437.0,6.8,2026-04-01
Arracacha*,Pereira,4000.0,15.57,2026-04-01
Papa negra*,Pereira,1744.0,9.0,2026-04-01
Papa criolla limpia,Pereira,5141.0,24.12,2026-04-01
Plátano hartón verde,Pereira,2133.0,-12.22,2026-04-01
Yuca*,Pereira,2649.0,-0.56,2026-04-01
Arroz de primera,Pereira,3755.0,0.24,2026-04-01
Arveja verde seca importada,Pereira,3870.0,0.0,2026-04-01
Fríjol seco*,Pereira,12268.0,0.15,2026-04-01
Garbanzo importado,Pereira,6611.0,-0.66,2026-04-01
Lenteja importada,Pereira,5423.0,-7.85,2026-04-01
Maíz blanco trillado,Pereira,2893.0,-0.58,2026-04-01
Huevo tipo A**,Pereira,475.0,8.7,2026-04-01
"Carne de cerdo, lomo sin hueso",Pereira,22000.0,-5.58,2026-04-01
